url,convocatoria,tema_id,periodo,curso,pais,idioma,id_grupo,codigo_grupo,dias,horario,zona_horaria,tipo_grupo,cupo_total,cupo_disponible,tiene_cupos
https://campus.fimlm.org/inscripcion/j232691l/31/1,j232691l,31,1,Bienestar para la Persona Mayor,Colombia,Español,4219,BPM-P-01,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,27,Sí
https://campus.fimlm.org/inscripcion/j232691l/31/1,j232691l,31,1,Bienestar para la Persona Mayor,Colombia,Español,4220,BPM-P-02,Sábado,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,14,Sí
https://campus.fimlm.org/inscripcion/j232691l/31/1,j232691l,31,1,Bienestar para la Persona Mayor,Colombia,Español,4221,BPM-P-03,Viernes,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,27,Sí
https://campus.fimlm.org/inscripcion/j232691l/54/1,j232691l,54,1,Comprensión Lectora,Colombia,Español,4224,CL-P-02,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/54/1,j232691l,54,1,Comprensión Lectora,Colombia,Español,4225,CL-P-03,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/54/1,j232691l,54,1,Comprensión Lectora,Colombia,Español,4226,CL-P-04,Sábado,8:00 - 9:30 a.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/54/1,j232691l,54,1,Comprensión Lectora,Colombia,Español,4227,CL-P-05,Miércoles,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/54/1,j232691l,54,1,Comprensión Lectora,Colombia,Español,4815,CL-P-01,Miércoles,10:00 - 11:30 a.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/2/1,j232691l,2,1,Despertar Humano,Colombia,Español,4481,DH-P-01,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,1,Sí
https://campus.fimlm.org/inscripcion/j232691l/2/1,j232691l,2,1,Despertar Humano,Colombia,Español,4482,DH-P-02,Viernes,10:00 - 11:30 a.m,America/Bogota,Estudiantes,50,16,Sí
https://campus.fimlm.org/inscripcion/j232691l/2/1,j232691l,2,1,Despertar Humano,Colombia,Español,4483,DH-P-03,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,22,Sí
https://campus.fimlm.org/inscripcion/j232691l/2/1,j232691l,2,1,Despertar Humano,Colombia,Español,4484,DH-P-04,Jueves,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,21,Sí
https://campus.fimlm.org/inscripcion/j232691l/2/1,j232691l,2,1,Despertar Humano,Colombia,Español,4485,DH-P-05,Miércoles,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,15,Sí
https://campus.fimlm.org/inscripcion/j232691l/2/1,j232691l,2,1,Despertar Humano,Colombia,Español,4487,DH-P-07,Martes,10:00 - 11:30 a.m,America/Bogota,Estudiantes,50,32,Sí
https://campus.fimlm.org/inscripcion/j232691l/2/1,j232691l,2,1,Despertar Humano,Colombia,Español,5035,DH-P-06,Sábado,14:00 - 15:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/15/1,j232691l,15,1,Economía del Hogar,Colombia,Español,4508,EH-P-01,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,0,No
https://campus.fimlm.org/inscripcion/j232691l/15/1,j232691l,15,1,Economía del Hogar,Colombia,Español,4509,EH-P-02,Jueves,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,4,Sí
https://campus.fimlm.org/inscripcion/j232691l/15/1,j232691l,15,1,Economía del Hogar,Colombia,Español,4511,EH-P-04,Martes,20:00 - 21:30 p.m,America/Bogota,Estudiantes,50,40,Sí
